Movie Title,Studio,Weekend Date,Opening Revenue
Apollo 13,Uni.,6/30/1995,"$25,353,380"
A.I. Artificial Intelligence,WB,6/29/2001,"$29,352,630"
Open Water,Lions,8/20/2004,"$11,413,017"
Real Steel,BV,10/7/2011,"$27,319,677"
Life as We Know It,WB,10/8/2010,"$14,506,464"
Alien Vs. Predator,Fox,8/13/2004,"$38,291,056"
John Carter,BV,3/9/2012,"$30,180,188"
Stay Alive,BV,3/24/2006,"$10,726,406"
Dawn of the Dead,Uni.,3/19/2004,"$26,722,575"
License to Wed,WB,7/3/2007,"$10,422,258"
Surf's Up,Sony,6/8/2007,"$17,640,249"
Land of the Lost,Uni.,6/5/2009,"$18,837,350"
A Haunted House,ORF,1/11/2013,"$18,101,682"
The Saint,Par.,4/4/1997,"$16,278,873"
Cast Away,Fox,12/22/2000,"$28,883,406"
The Animal,SonR,6/1/2001,"$19,610,520"
The Golden Child,Par.,12/12/1986,"$11,549,711"
Anchorman: The Legend of Ron Burgundy,DW,7/9/2004,"$28,416,365"
Transporter 3,LGF,11/26/2008,"$12,063,452"
Just Like Heaven,DW,9/16/2005,"$16,408,718"
The Karate Kid,Sony,6/11/2010,"$55,665,805"
Tyler Perry's Meet the Browns,LGF,3/21/2008,"$20,082,809"
Gladiator,DW,5/5/2000,"$34,819,017"
Get Him to the Greek,Uni.,6/4/2010,"$17,570,955"
The Banger Sisters,FoxS,9/20/2002,"$10,037,846"
Romeo + Juliet,Fox,11/1/1996,"$11,133,231"
George of the Jungle,BV,7/18/1997,"$16,540,791"
