Movie Title,Studio,Weekend Date,Opening Revenue
"Yours, Mine and Ours",Par.,11/23/2005,"$17,461,108"
Presumed Innocent,WB,7/27/1990,"$11,718,981"
The Polar Express,WB,11/10/2004,"$23,323,463"
The Master of Disguise,SonR,8/2/2002,"$12,554,650"
Jungle 2 Jungle,BV,3/7/1997,"$12,812,047"
Ronin,MGM,9/25/1998,"$12,697,641"
Mo' Money,Col.,7/24/1992,"$12,385,415"
Total Recall (2012),Sony,8/3/2012,"$25,577,758"
Sleeping with the Enemy,Fox,2/8/1991,"$13,777,943"
Atlantis: The Lost Empire,BV,6/15/2001,"$20,342,105"
Red Dawn (2012),FD,11/21/2012,"$14,276,668"
Zookeeper,Sony,7/8/2011,"$20,065,617"
Precious: Based on the Novel &quot;Push&quot; by Sapphire,LGF,11/20/2009,"$10,881,772"
Battleship,Uni.,5/18/2012,"$25,534,825"
13 Going on 30,SonR,4/23/2004,"$21,054,283"
Because of Winn-Dixie,Fox,2/18/2005,"$10,208,431"
Flightplan,BV,9/23/2005,"$24,629,938"
Frankenweenie,BV,10/5/2012,"$11,412,213"
Black Sheep,Par.,2/2/1996,"$10,593,609"
Biker Boyz,DW,1/31/2003,"$10,106,992"
Made of Honor,Sony,5/2/2008,"$14,756,850"
Happy Feet Two,WB,11/18/2011,"$21,237,068"
The Bone Collector,Uni.,11/5/1999,"$16,712,020"
Teenage Mutant Ninja Turtles,NL,3/30/1990,"$25,398,367"
Moulin Rouge!,Fox,6/1/2001,"$13,718,306"
The Princess Diaries,BV,8/3/2001,"$22,862,269"
Teenage Mutant Ninja Turtles II,NL,3/22/1991,"$20,030,473"
Unstoppable,Fox,11/12/2010,"$22,688,457"
Madagascar: Escape 2 Africa,P/DW,11/7/2008,"$63,106,589"
Resident Evil: Apocalypse,SGem,9/10/2004,"$23,036,273"
Anastasia,Fox,11/21/1997,"$14,104,933"
The Musketeer,Uni.,9/7/2001,"$10,312,740"
Couples Retreat,Uni.,10/9/2009,"$34,286,740"
The Punisher,Lions,4/16/2004,"$13,834,527"
The Jackal,Uni.,11/14/1997,"$15,164,595"
A Christmas Carol (2009),BV,11/6/2009,"$30,051,075"
War of the Worlds,Par.,6/29/2005,"$64,878,725"
Sleepy Hollow,Par.,11/19/1999,"$30,060,467"
That's My Boy,Sony,6/15/2012,"$13,453,714"
Saw,Lions,10/29/2004,"$18,276,468"
Warm Bodies,Sum.,2/1/2013,"$20,353,967"
The Good Son,Fox,9/24/1993,"$12,520,305"
Natural Born Killers,WB,8/26/1994,"$11,166,687"
Pirates of the Caribbean: Dead Man's Chest,BV,7/7/2006,"$135,634,554"
Mirrors,Fox,8/15/2008,"$11,161,074"
Paranormal Activity 3,Par.,10/21/2011,"$52,568,183"
The Devil's Own,Sony,3/28/1997,"$14,274,503"
Tyler Perry's Diary of a Mad Black Woman,Lions,2/25/2005,"$21,905,089"
Scream 2,Dim.,12/12/1997,"$32,926,342"
The Eye,LGF,2/1/2008,"$12,425,776"
30 Days of Night,Sony,10/19/2007,"$15,951,902"
The Best Little Whorehouse in Texas,Uni.,7/23/1982,"$11,874,268"
"Dude, Where's My Car?",Fox,12/15/2000,"$13,845,914"
Underworld: Rise of the Lycans,SGem,1/23/2009,"$20,828,511"
28 Days,Sony,4/14/2000,"$10,310,672"
Three Men and a Baby,BV,11/25/1987,"$10,384,392"
Balls of Fury,Rog.,8/29/2007,"$11,352,123"
Edge of Darkness,WB,1/29/2010,"$17,214,384"
